Gene	Annotation
N0.HOG0005222	uncharacterized protein LOC130689380
N0.HOG0005223	dynein axonemal heavy chain 5-like
N0.HOG0005224	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A-like
N0.HOG0005225	cytochrome b5 reductase 4-like
N0.HOG0005226	paired box pox-neuro protein-like
N0.HOG0005227	GPI transamidase component PIG-T-like
N0.HOG0005228	sorting nexin-17-like
N0.HOG0005229	E3 ubiquitin-protein ligase RNF19B-like
N0.HOG0005230	urokinase-type plasminogen activator-like
N0.HOG0005231	uncharacterized protein LOC116933905
N0.HOG0005232	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0005233	uncharacterized protein LOC130689730
N0.HOG0005234	unnamed protein product
N0.HOG0005235	cell division control protein 45 homolog
N0.HOG0005236	alpha-(1,3)-fucosyltransferase C-like
N0.HOG0005237	unnamed protein product
N0.HOG0005238	cullin-3-A-like
N0.HOG0005239	histidine decarboxylase-like
N0.HOG0005240	heterogeneous nuclear ribonucleoprotein Q-like isoform X1
N0.HOG0005241	RNA-binding protein Pasilla-like
N0.HOG0005242	DNA nucleotidylexotransferase-like
N0.HOG0005243	unnamed protein product
N0.HOG0005244	Lipase 3
N0.HOG0005245	thyrostimulin alpha-2 subunit-like
N0.HOG0005246	mediator of RNA polymerase II transcription subunit 14-like
N0.HOG0005247	protein abrupt
N0.HOG0005248	hybrid signal transduction histidine kinase D
N0.HOG0005249	zwei Ig domain protein zig-8-like
N0.HOG0005250	glutathione S-transferase 1-like
N0.HOG0005251	breast carcinoma-amplified sequence 4-like
N0.HOG0005252	26S proteasome regulatory subunit 6A-B
N0.HOG0005253	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9-like
N0.HOG0005254	uncharacterized protein LOC124205684
N0.HOG0005255	LOW QUALITY PROTEIN: DNA polymerase subunit gamma-1-like
N0.HOG0005256	E3 ubiquitin-protein ligase PDZRN3-like
N0.HOG0005257	ATP-binding cassette sub-family G member 1-like
N0.HOG0005258	F-actin-capping protein subunit alpha-like
N0.HOG0005259	enkurin domain-containing protein 1-like
N0.HOG0005260	ras-like GTP-binding protein YPT1
N0.HOG0005261	dynactin subunit 3-like
N0.HOG0005262	uncharacterized protein LOC130689767
N0.HOG0005263	lysine-specific demethylase 7B-like
N0.HOG0005264	wolframin-like
N0.HOG0005265	ATP-binding cassette sub-family C member 10-like
N0.HOG0005266	mitogen-activated protein kinase kinase kinase 11-like isoform X1
N0.HOG0005267	O-phosphoseryl-tRNA(Sec) selenium transferase-like
N0.HOG0005268	ribosome production factor 1-like
N0.HOG0005269	gamma-aminobutyric acid receptor subunit gamma-3-like
N0.HOG0005270	glycine receptor subunit alpha-2-like
N0.HOG0005271	protein lin-54 homolog
N0.HOG0005272	F-box/LRR-repeat protein 4-like
N0.HOG0005273	blood vessel epicardial substance-like
N0.HOG0005274	TOG domain-containing protein
N0.HOG0005275	unnamed protein product
N0.HOG0005276	unnamed protein product
N0.HOG0005277	unnamed protein product
N0.HOG0005278	unnamed protein product
N0.HOG0005279	protein phosphatase 1 regulatory subunit 16A-like
N0.HOG0005280	E3 ubiquitin-protein ligase Rnf220-like
N0.HOG0005281	Lysine-specific demethylase 5B
N0.HOG0005282	uncharacterized protein LOC130689939 isoform X1
N0.HOG0005283	transcription termination factor 2-like
N0.HOG0005284	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like
N0.HOG0005285	cysteine sulfinic acid decarboxylase-like isoform X1
N0.HOG0005286	serine/threonine-protein kinase PAK 2-like isoform X1
N0.HOG0005287	unnamed protein product
N0.HOG0005288	homeotic protein distal-less-like
N0.HOG0005289	barH-like 1 homeobox protein
N0.HOG0005290	protein ABHD13-like
N0.HOG0005291	DNA repair protein complementing XP-C cells homolog
N0.HOG0005292	PAS domain-containing protein cky-1-like isoform X1
N0.HOG0005293	prolyl endopeptidase FAP-like isoform X1
N0.HOG0005294	zinc finger protein 2-like
N0.HOG0005295	matrix metalloproteinase-2-like
N0.HOG0005296	urocanate hydratase-like
N0.HOG0005297	facilitated trehalose transporter Tret1-like
N0.HOG0005298	lysosome membrane protein 2-like
N0.HOG0005299	mediator of RNA polymerase II transcription subunit 20-like
N0.HOG0005300	H/ACA ribonucleoprotein complex subunit 2-like protein
N0.HOG0005301	signal recognition particle 9 kDa protein-like
N0.HOG0005302	eukaryotic peptide chain release factor subunit 1
N0.HOG0005303	unnamed protein product
N0.HOG0005304	uncharacterized protein LOC130690097 isoform X1
N0.HOG0005305	uncharacterized protein LOC130690102
N0.HOG0005306	MAGE-like protein 2 isoform X1
N0.HOG0005307	lymphoid-specific helicase-like
N0.HOG0005308	nuclear receptor coactivator 6-like
N0.HOG0005309	secreted frizzled-related protein 5-like
N0.HOG0005310	major facilitator superfamily domain-containing protein 6-A-like
N0.HOG0005311	uncharacterized protein CG5098-like
N0.HOG0005312	exopolyphosphatase PRUNE1-like isoform X1
N0.HOG0005313	platelet endothelial aggregation receptor 1-like
N0.HOG0005314	E3 ubiquitin-protein ligase FANCL-like
N0.HOG0005315	uncharacterized protein LOC130690137
N0.HOG0005316	lysosomal-associated transmembrane protein 4A-like isoform X1
N0.HOG0005317	ethanolamine kinase 2-like
N0.HOG0005318	inorganic pyrophosphatase-like
N0.HOG0005319	Golgi to ER traffic protein 4 homolog
N0.HOG0005320	uncharacterized protein LOC116919428
N0.HOG0005321	uncharacterized protein C3orf38 homolog
N0.HOG0005322	three-prime repair exonuclease 1-like
N0.HOG0005323	cuticle protein 38-like
N0.HOG0005324	uncharacterized protein LOC130690174
N0.HOG0005325	putative ankyrin repeat protein RF_0381
N0.HOG0005326	uncharacterized protein LOC130690176
N0.HOG0005327	phosphomevalonate kinase-like
N0.HOG0005328	outer dense fiber protein 3-like isoform X1
N0.HOG0005329	biogenesis of lysosome-related organelles complex 1 subunit 6-like
N0.HOG0005330	small integral membrane protein 8-like
N0.HOG0005331	blood vessel epicardial substance-like
N0.HOG0005332	homeodomain-interacting protein kinase 2-like
N0.HOG0005333	la-related protein Larp4B-like isoform X1
N0.HOG0005334	mitogen-activated protein kinase kinase kinase 13-A
N0.HOG0005335	protein lin-28 homolog
N0.HOG0005336	myb-like protein AA
N0.HOG0005337	mediator of RNA polymerase II transcription subunit 15-like
N0.HOG0005338	unnamed protein product
N0.HOG0005339	glucose-6-phosphate isomerase-like
N0.HOG0005340	probable serine--tRNA ligase, cytoplasmic isoform X1
N0.HOG0005341	pyruvate dehydrogenase (acetyl-transferring) kinase, mitochondrial-like
N0.HOG0005342	pyrroline-5-carboxylate reductase
N0.HOG0005343	uncharacterized protein LOC130690326
N0.HOG0005344	metaxin-2-like
N0.HOG0005345	uncharacterized protein LOC124205464
N0.HOG0005346	TBC1 domain family member 22B-like
N0.HOG0005347	sex peptide receptor
N0.HOG0005348	integrin-linked protein kinase-like
N0.HOG0005349	hsp70-binding protein 1-like
N0.HOG0005350	ribosome production factor 2 homolog
N0.HOG0005351	Uncharacterized protein
N0.HOG0005352	tetraspanin-2A-like
N0.HOG0005353	adenosine 5'-monophosphoramidase HINT1-like
N0.HOG0005354	rhamnose-binding lectin-like
N0.HOG0005355	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6-like
N0.HOG0005356	DNA topoisomerase 2-like isoform X1
N0.HOG0005357	uncharacterized protein LOC130690466
N0.HOG0005358	dynein regulatory complex protein 1-like
N0.HOG0005359	N-acetylneuraminate 9-O-acetyltransferase-like
N0.HOG0005360	V-type proton ATPase 116 kDa subunit a1-like
N0.HOG0005361	kelch-like protein 6
N0.HOG0005362	sphingomyelin phosphodiesterase-like
N0.HOG0005363	tyrosine--tRNA ligase, cytoplasmic-like
N0.HOG0005364	telomerase Cajal body protein 1-like
N0.HOG0005365	uncharacterized protein LOC130690554
N0.HOG0005366	uncharacterized protein C18orf19 homolog A-like
N0.HOG0005367	uncharacterized protein LOC124205877
N0.HOG0005368	SPARC-like
N0.HOG0005369	reelin-like
N0.HOG0005370	alkyldihydroxyacetonephosphate synthase, peroxisomal
N0.HOG0005371	unnamed protein product
N0.HOG0005372	DNA-directed RNA polymerase III subunit RPC5-like
N0.HOG0005373	brachyurin
N0.HOG0005374	uncharacterized protein LOC124207981
N0.HOG0005375	ADP-ribosylation factor 1
N0.HOG0005376	protein winged eye
N0.HOG0005377	neuroglobin-like
N0.HOG0005378	unnamed protein product
N0.HOG0005379	papilin-like
N0.HOG0005380	arylsulfatase B-like isoform X1
N0.HOG0005381	uncharacterized protein LOC130698745
N0.HOG0005382	twinfilin-like
N0.HOG0005383	U3 small nucleolar RNA-associated protein 14 homolog A-like
N0.HOG0005384	peptidyl-prolyl cis-trans isomerase-like 3
N0.HOG0005385	deubiquitination-protection protein dph1-like
N0.HOG0005386	leptin receptor gene-related protein
N0.HOG0005387	LOW QUALITY PROTEIN: uncharacterized protein LOC130691014
N0.HOG0005388	alpha-1,2-mannosyltransferase ALG9-like
N0.HOG0005389	tyramine/octopamine receptor-like
N0.HOG0005390	cyclic nucleotide-gated olfactory channel-like
N0.HOG0005391	Arrestin_C domain-containing protein
N0.HOG0005392	WD repeat-containing protein 18-like
N0.HOG0005393	uncharacterized protein LOC116917843
N0.HOG0005394	out at first protein-like
N0.HOG0005395	Phosphoinositide phospholipase C
N0.HOG0005396	transmembrane channel-like protein 7 isoform X1
N0.HOG0005397	N-acetyltransferase 9-like protein
N0.HOG0005398	von Willebrand factor A domain-containing protein 8-like
N0.HOG0005399	unnamed protein product
N0.HOG0005400	regulator of G-protein signaling 20-like
N0.HOG0005401	T-box protein H15-like
N0.HOG0005402	uncharacterized protein LOC124313966
N0.HOG0005403	enhanced level of genomic instability 1-like
N0.HOG0005404	hillarin-like
N0.HOG0005405	probable protein phosphatase 2C 8
N0.HOG0005406	GPI mannosyltransferase 2-like
N0.HOG0005407	polyadenylate-binding protein-interacting protein 1-like
N0.HOG0005408	39S ribosomal protein L44, mitochondrial-like
N0.HOG0005409	zwei Ig domain protein zig-8-like
N0.HOG0005410	dehydrogenase/reductase SDR family member 4-like
N0.HOG0005411	matrix metalloproteinase-16-like isoform X1
N0.HOG0005412	B-cell receptor-associated protein 31-like
N0.HOG0005413	ribosome biogenesis protein BRX1 homolog
N0.HOG0005414	protein unc-45 homolog B-like
N0.HOG0005415	LOW QUALITY PROTEIN: uncharacterized protein LOC130691203
N0.HOG0005416	lysyl oxidase homolog 2-like
N0.HOG0005417	unnamed protein product
N0.HOG0005418	lipase member N-like isoform X1
N0.HOG0005419	LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase UBR4-like
N0.HOG0005420	3-hydroxy-3-methylglutaryl-coenzyme A reductase-like
N0.HOG0005421	IQ motif and SEC7 domain-containing protein 1-like
N0.HOG0005422	uncharacterized protein LOC130691223
N0.HOG0005423	multifunctional methyltransferase subunit TRM112-like protein
N0.HOG0005424	ZnMc domain-containing protein
N0.HOG0005425	retinol dehydrogenase 12-like
N0.HOG0005426	unnamed protein product
N0.HOG0005427	cofilin/actin-depolymerizing factor homolog
N0.HOG0005428	Putative SMC5, structural maintenance of chromosome protein 5
N0.HOG0005429	sorting nexin-13-like
N0.HOG0005430	DE-cadherin-like
N0.HOG0005431	photoreceptor-specific nuclear receptor-like
N0.HOG0005432	protein RFT1 homolog
N0.HOG0005433	18S rRNA aminocarboxypropyltransferase-like isoform X2
N0.HOG0005434	tetratricopeptide repeat protein 1-like
N0.HOG0005435	DNA-directed RNA polymerase III subunit RPC7-like isoform X1
N0.HOG0005436	ubiquitin conjugation factor E4 B-like
N0.HOG0005437	elongation of very long chain fatty acids protein 7-like
N0.HOG0005438	tachykinin-like peptides receptor 86C
N0.HOG0005439	uncharacterized protein LOC116916669
N0.HOG0005440	GRIP1-associated protein 1-like
N0.HOG0005441	mRNA decay activator protein ZFP36L1-like
N0.HOG0005442	histone-binding protein N1/N2-like
N0.HOG0005443	uncharacterized protein LOC130702163
N0.HOG0005444	helicase SKI2W-like
N0.HOG0005445	codanin-1-like
N0.HOG0005446	protein bicaudal C homolog 1-like
N0.HOG0005447	JNK1/MAPK8-associated membrane protein-like
N0.HOG0005448	uncharacterized protein LOC130691511
N0.HOG0005449	tetraspanin-18-like
N0.HOG0005450	cyclin-dependent kinases regulatory subunit-like
N0.HOG0005451	DNA-directed RNA polymerase II subunit RPB7
N0.HOG0005452	ankyrin repeat domain-containing protein 50-like
N0.HOG0005453	uncharacterized protein LOC130691546
N0.HOG0005454	larval cuticle protein LCP-17-like
N0.HOG0005455	uncharacterized protein LOC130691561
N0.HOG0005456	larval cuticle protein 65Ag1-like
N0.HOG0005457	larval cuticle protein 65Ag1-like
N0.HOG0005458	golgin subfamily A member 4-like
N0.HOG0005459	la-related protein 7-like
N0.HOG0005460	metabotropic glutamate receptor 2-like isoform X1
N0.HOG0005461	ras-like protein 1
N0.HOG0005462	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1
N0.HOG0005463	uncharacterized protein LOC130691671
N0.HOG0005464	cyclic AMP-dependent transcription factor ATF-1-like
N0.HOG0005465	ATP-dependent RNA helicase DHX30-like
N0.HOG0005466	uncharacterized protein LOC116916918
N0.HOG0005467	uncharacterized protein LOC130691714
N0.HOG0005468	uncharacterized protein LOC130691721
N0.HOG0005469	probable G-protein coupled receptor B0563.6
N0.HOG0005470	acyl-coenzyme A diphosphatase NUDT19-like
N0.HOG0005471	Superoxide dismutase [Cu-Zn]
N0.HOG0005472	geminin-like
N0.HOG0005473	protein transport protein Sec16A-like isoform X1
N0.HOG0005474	solute carrier family 12 member 4-like isoform X1
N0.HOG0005475	dynein axonemal intermediate chain 1-like
N0.HOG0005476	solute carrier organic anion transporter family member 74D-like
N0.HOG0005477	ras and EF-hand domain-containing protein homolog
N0.HOG0005478	UDP-glucose 6-dehydrogenase-like
N0.HOG0005479	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like
N0.HOG0005480	uncharacterized protein LOC130691814
N0.HOG0005481	leucine-rich PPR motif-containing protein, mitochondrial-like
N0.HOG0005482	F-box DNA helicase 1-like isoform X1
N0.HOG0005483	importin subunit beta-1
N0.HOG0005484	malonate--CoA ligase ACSF3, mitochondrial-like
N0.HOG0005485	fumarylacetoacetase-like
N0.HOG0005486	putative uncharacterized protein DDB_G0271606
N0.HOG0005487	uncharacterized protein LOC116917286
N0.HOG0005488	uncharacterized protein LOC130691863
N0.HOG0005489	uncharacterized protein LOC124329193
N0.HOG0005490	28S ribosomal protein S7, mitochondrial-like
N0.HOG0005491	kinesin-like protein KIN-14E
N0.HOG0005492	unnamed protein product
N0.HOG0005493	WASH complex subunit 5-like
N0.HOG0005494	WD repeat-containing protein 91-like
N0.HOG0005495	chloride channel protein 2-like isoform X1
N0.HOG0005496	chloride channel protein 2-like
N0.HOG0005497	BSD domain-containing protein 1-A-like isoform X1
N0.HOG0005498	uncharacterized protein LOC116915941
N0.HOG0005499	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B-like
N0.HOG0005500	centrosomal and chromosomal factor-like
N0.HOG0005501	probable G-protein coupled receptor 158
N0.HOG0005502	PHD finger protein 14-like
N0.HOG0005503	arrestin domain-containing protein 4-like
N0.HOG0005504	DNA polymerase alpha catalytic subunit
N0.HOG0005505	protoheme IX farnesyltransferase, mitochondrial-like
N0.HOG0005506	thioredoxin, mitochondrial-like
N0.HOG0005507	unnamed protein product
N0.HOG0005508	replication protein A 32 kDa subunit-like
N0.HOG0005509	alpha-mannosidase 2C1-like
N0.HOG0005510	unnamed protein product
N0.HOG0005511	multivesicular body subunit 12B-like
N0.HOG0005512	unnamed protein product
N0.HOG0005513	uncharacterized protein LOC130692100 isoform X3
N0.HOG0005514	SID1 transmembrane family member 1-like
N0.HOG0005515	protein PRRC1-like
N0.HOG0005516	uncharacterized protein LOC130692111
N0.HOG0005517	transforming acidic coiled-coil-containing protein 2-like isoform X1
N0.HOG0005518	protein CREBRF homolog isoform X1
N0.HOG0005519	uncharacterized protein LOC130692132
N0.HOG0005520	LOW QUALITY PROTEIN: inactive histone-lysine N-methyltransferase 2E-like
N0.HOG0005521	golgin-45-like
N0.HOG0005522	ras-related protein Rab-3
N0.HOG0005523	unnamed protein product
N0.HOG0005524	WSC domain-containing protein 1
N0.HOG0005525	serine/threonine-protein kinase PAK mbt-like
N0.HOG0005526	glycogen debranching enzyme-like isoform X1
N0.HOG0005527	uncharacterized protein LOC130692243
N0.HOG0005528	protein transport protein Sec23A-like isoform X1
N0.HOG0005529	unnamed protein product
N0.HOG0005530	uncharacterized protein LOC130692246
N0.HOG0005531	uncharacterized protein LOC130692251 isoform X2
N0.HOG0005532	replication protein A 70 kDa DNA-binding subunit-like
N0.HOG0005533	P2X purinoceptor 4-like
N0.HOG0005534	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-like
N0.HOG0005535	diphthine methyltransferase-like
N0.HOG0005536	uncharacterized protein LOC116916043
N0.HOG0005537	allatostatin C-like
N0.HOG0005538	39S ribosomal protein L49, mitochondrial-like
N0.HOG0005539	sorting nexin-19-like
N0.HOG0005540	zinc finger CCHC domain-containing protein 7
N0.HOG0005541	transmembrane protein 8B-like
N0.HOG0005542	zinc finger protein ZFP2-like
N0.HOG0005543	transcription factor SPT20 homolog
N0.HOG0005544	DNA primase small subunit-like
N0.HOG0005545	glutamine synthetase-like
N0.HOG0005546	bromodomain-containing protein DDB_G0270170-like isoform X1
N0.HOG0005547	unnamed protein product
N0.HOG0005548	leucine--tRNA ligase, mitochondrial-like
N0.HOG0005549	beta-mannosidase-like
N0.HOG0005550	MOB kinase activator-like 3
N0.HOG0005551	G-protein coupled receptor 143-like
N0.HOG0005552	eukaryotic translation initiation factor 2-alpha kinase 3-like isoform X1
N0.HOG0005553	sodium-coupled monocarboxylate transporter 1-like
N0.HOG0005554	putative fatty acyl-CoA reductase CG5065
N0.HOG0005555	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like
N0.HOG0005556	zinc finger protein Gfi-1-like
N0.HOG0005557	mucin-5AC-like
N0.HOG0005558	uncharacterized protein LOC116918043
N0.HOG0005559	dickkopf-related protein 3-like
N0.HOG0005560	condensin-2 complex subunit G2-like
N0.HOG0005561	uncharacterized protein LOC130692579 isoform X1
N0.HOG0005562	septin-7-like isoform X1
N0.HOG0005563	transcription factor Adf-1-like
N0.HOG0005564	protein germ cell-less-like isoform X1
N0.HOG0005565	RNA-binding protein squid-like isoform X1
N0.HOG0005566	60S ribosomal protein L34
N0.HOG0005567	bifunctional heparan sulfate N-deacetylase/N-sulfotransferase-like
N0.HOG0005568	abhydrolase domain-containing protein 2-like
N0.HOG0005569	uncharacterized protein K02A2.6-like
N0.HOG0005570	uncharacterized protein K02A2.6-like
N0.HOG0005571	Bloom syndrome protein homolog
N0.HOG0005572	partitioning defective 6 homolog gamma-like
N0.HOG0005573	uncharacterized protein LOC124331648
N0.HOG0005574	serine protease inhibitor dipetalogastin-like
N0.HOG0005575	Uncharacterized protein
N0.HOG0005576	uncharacterized protein LOC116917606
N0.HOG0005577	Ion_trans_2 domain-containing protein
N0.HOG0005578	uncharacterized protein LOC130692794
N0.HOG0005579	uncharacterized protein LOC130692796
N0.HOG0005580	uncharacterized protein LOC130692813
N0.HOG0005581	heme transporter hrg-1-like
N0.HOG0005582	p21-activated protein kinase-interacting protein 1-like
N0.HOG0005583	PDZ domain-containing protein GIPC3-like
N0.HOG0005584	coiled-coil domain-containing protein 97
N0.HOG0005585	unnamed protein product
N0.HOG0005586	DDB1- and CUL4-associated factor 8-like isoform X1
N0.HOG0005587	UTP--glucose-1-phosphate uridylyltransferase-like
N0.HOG0005588	replication factor C subunit 4-like
N0.HOG0005589	uracil phosphoribosyltransferase homolog
N0.HOG0005590	LOW QUALITY PROTEIN: 5'-AMP-activated protein kinase subunit beta-1-like
N0.HOG0005591	putative uncharacterized protein DDB_G0291608
N0.HOG0005592	lysozyme-like
N0.HOG0005593	DNA topoisomerase 3-beta-1-like
N0.HOG0005594	unnamed protein product
N0.HOG0005595	protein turtle-like isoform X1
N0.HOG0005596	unnamed protein product
N0.HOG0005597	protein numb-like isoform X1
N0.HOG0005598	ubiquitin-60S ribosomal protein L40
N0.HOG0005599	ubiquitin-60S ribosomal protein L40
N0.HOG0005600	mucin-5AC-like
N0.HOG0005601	ATP-dependent RNA helicase SUV3 homolog, mitochondrial-like
N0.HOG0005602	motile sperm domain-containing protein 2-like
N0.HOG0005603	uncharacterized protein LOC116936036
N0.HOG0005604	uncharacterized protein LOC124207330
N0.HOG0005605	F-box/LRR-repeat protein 20-like isoform X1
N0.HOG0005606	uncharacterized protein LOC130693139
N0.HOG0005607	probable serine hydrolase
N0.HOG0005608	tyrosine-protein kinase Src42A-like
N0.HOG0005609	LOW QUALITY PROTEIN: uncharacterized protein LOC130693200
N0.HOG0005610	cyclic nucleotide-gated cation channel beta-1-like
N0.HOG0005611	keratin, type I cytoskeletal 10-like
N0.HOG0005612	regulation of nuclear pre-mRNA domain-containing protein 2-like
N0.HOG0005613	abl interactor 2-like
N0.HOG0005614	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1-like
N0.HOG0005615	60S ribosomal protein L17-like
N0.HOG0005616	uncharacterized protein LOC130693256
N0.HOG0005617	peroxidasin-like isoform X1
N0.HOG0005618	E3 ubiquitin-protein ligase SMURF1-like
N0.HOG0005619	protein sel-1 homolog 1-like
N0.HOG0005620	mitochondrial folate transporter/carrier-like
N0.HOG0005621	splicing factor 1-like
N0.HOG0005622	mRNA-capping enzyme; Polynucleotide 5'-triphosphatase; mRNA guanylyltransferase; GTP--RNA guanylyltransferase; GTase
N0.HOG0005623	copine-8-like isoform X1
N0.HOG0005624	tyrosine-protein kinase Src42A-like
N0.HOG0005625	serine/threonine-protein phosphatase 5-like
N0.HOG0005626	dipeptidase 1-like
N0.HOG0005627	minor histocompatibility antigen H13-like
N0.HOG0005628	serine/threonine-protein kinase/endoribonuclease ire-1-like
N0.HOG0005629	cleavage and polyadenylation specificity factor subunit 4-like
N0.HOG0005630	beta-lactamase-like protein 2 homolog
N0.HOG0005631	protein FRG1 homolog
N0.HOG0005632	ATP synthase subunit O, mitochondrial-like
N0.HOG0005633	transmembrane protein 242-like
N0.HOG0005634	Uncharacterized protein
N0.HOG0005635	glutaredoxin-2, mitochondrial-like
N0.HOG0005636	uncharacterized protein LOC130693334
N0.HOG0005637	chitin synthase chs-2-like
N0.HOG0005638	insulin-like growth factor 2 mRNA-binding protein 1
N0.HOG0005639	isotocin receptor-like
N0.HOG0005640	LOW QUALITY PROTEIN: uncharacterized protein LOC130693362
N0.HOG0005641	uncharacterized protein LOC130693363 isoform X1
N0.HOG0005642	platelet-derived growth factor receptor alpha-like isoform X2
N0.HOG0005643	unnamed protein product
N0.HOG0005644	exosome complex component MTR3-like
N0.HOG0005645	F-box-like/WD repeat-containing protein TBL1XR1
N0.HOG0005646	integrator complex subunit 2-like
N0.HOG0005647	uncharacterized protein LOC130702188
N0.HOG0005648	ras-like protein family member 10B
N0.HOG0005649	uncharacterized protein LOC124313281
N0.HOG0005650	protein outspread-like
N0.HOG0005651	replication factor C subunit 1-like
N0.HOG0005652	methionine--tRNA ligase, cytoplasmic-like
N0.HOG0005653	polyribonucleotide nucleotidyltransferase 1, mitochondrial-like
N0.HOG0005654	ADAMTS-like protein 5
N0.HOG0005655	conserved oligomeric Golgi complex subunit 6-like
N0.HOG0005656	recQ-mediated genome instability protein 1-like
N0.HOG0005657	protein downstream neighbor of son homolog
N0.HOG0005658	gamma-aminobutyric acid receptor subunit beta-like
N0.HOG0005659	SH3 domain-containing protein Dlish-like
N0.HOG0005660	zinc finger and SCAN domain-containing protein 10-like
N0.HOG0005661	protein Mo25-like
N0.HOG0005662	1,5-anhydro-D-fructose reductase-like
N0.HOG0005663	28S ribosomal protein S15, mitochondrial-like
N0.HOG0005664	uncharacterized protein LOC130693458 isoform X1
N0.HOG0005665	uncharacterized protein LOC130693469
N0.HOG0005666	solute carrier family 46 member 3-like
N0.HOG0005667	protein spinster-like isoform X1
N0.HOG0005668	probable ATP-dependent RNA helicase DHX37
N0.HOG0005669	neprilysin-2-like isoform X1
N0.HOG0005670	dehydrogenase/reductase SDR family member 7-like
N0.HOG0005671	Uncharacterized protein
N0.HOG0005672	uncharacterized protein LOC130693554
N0.HOG0005673	DNA-directed RNA polymerase II subunit RPB11-like
N0.HOG0005674	NADPH--cytochrome P450 reductase-like
N0.HOG0005675	DIS3-like exonuclease 2 isoform X1
N0.HOG0005676	V-type proton ATPase subunit a
N0.HOG0005677	oxygen-dependent coproporphyrinogen-III oxidase-like
N0.HOG0005678	uncharacterized protein LOC130693627
N0.HOG0005679	akirin-2-like
N0.HOG0005680	ras-like protein 1
N0.HOG0005681	cold and drought-regulated protein CORA
N0.HOG0005682	meiosis regulator and mRNA stability factor 1-like
N0.HOG0005683	ubiquinone biosynthesis monooxygenase COQ6, mitochondrial-like
N0.HOG0005684	uncharacterized protein LOC130693702
N0.HOG0005685	transducin beta-like protein 3
N0.HOG0005686	GTPase-activating protein skywalker-like isoform X1
N0.HOG0005687	sperm-associated antigen 7 homolog
N0.HOG0005688	phospholipid scramblase 2
N0.HOG0005689	Poly(ADP-ribose) glycohydrolase
N0.HOG0005690	cyclin-dependent kinase 10-like
N0.HOG0005691	autophagy-related protein 2 homolog A-like isoform X1
N0.HOG0005692	vacuolar protein sorting-associated protein 28 homolog
N0.HOG0005693	negative elongation factor D-like
N0.HOG0005694	ubiquitin-associated domain-containing protein 2-like
N0.HOG0005695	tRNA selenocysteine 1-associated protein 1-like
N0.HOG0005696	uncharacterized protein LOC130693824 isoform X1
N0.HOG0005697	transcription initiation factor TFIID subunit 9-like
N0.HOG0005698	ras-like GTP-binding protein RhoL
N0.HOG0005699	vesicle-associated membrane protein 2-like
N0.HOG0005700	Uncharacterized protein
N0.HOG0005701	ATP synthase subunit d, mitochondrial-like
N0.HOG0005702	cyclin-dependent kinase 14-like
N0.HOG0005703	4-aminobutyrate aminotransferase, mitochondrial-like
N0.HOG0005704	mitochondrial mRNA pseudouridine synthase RPUSD3-like
N0.HOG0005705	C1q and tumor necrosis factor-related protein-like protein 3 isoform b
N0.HOG0005706	probable ATP-dependent RNA helicase ddx17
N0.HOG0005707	serine/threonine-protein kinase RIO2-like
N0.HOG0005708	oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
N0.HOG0005709	40S ribosomal protein SA-like
N0.HOG0005710	unnamed protein product
N0.HOG0005711	flocculation protein FLO11-like
N0.HOG0005712	L-threonine ammonia-lyase-like
N0.HOG0005713	E3 ubiquitin-protein ligase Topors-like
N0.HOG0005714	cysteine protease ATG4C-like
N0.HOG0005715	uncharacterized protein LOC130694295
N0.HOG0005716	uncharacterized protein LOC124314209
N0.HOG0005717	uncharacterized protein LOC130694323
N0.HOG0005718	LIM domain only protein 3-like
N0.HOG0005719	asparagine-rich zinc finger protein AZF1-like
N0.HOG0005720	EEF1A lysine methyltransferase 2-like
N0.HOG0005721	microtubule-associated proteins 1A/1B light chain 3A-like
N0.HOG0005722	uncharacterized protein LOC124342269
N0.HOG0005723	uncharacterized protein LOC130694394
N0.HOG0005724	tubulin-folding cofactor B-like
N0.HOG0005725	peroxiredoxin-6-like
N0.HOG0005726	cytochrome c-2
N0.HOG0005727	uncharacterized peptidase C1-like protein F26E4.3
N0.HOG0005728	zinc finger protein 830-like
N0.HOG0005729	SRR1-like protein
N0.HOG0005730	unnamed protein product
N0.HOG0005731	oxalate:formate antiporter
N0.HOG0005732	uncharacterized protein LOC130694466
N0.HOG0005733	ectonucleotide pyrophosphatase/phosphodiesterase family member 3-like
N0.HOG0005734	CWF19-like protein 1
